Altium Designer Pick and Place Locations
C:\Users\matt\Blinkinlabs-Repos\alles-pcb\pcb\Project Outputs for Alles\Pick Place\Pick Place for Alles.csv

========================================================================================================================
File Design Information:

Date:       01/05/21
Time:       20:49
Revision:   c03110c61de2835dd9dc325dd4adaa97468dcb24
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"L2","FNR201610S","31.9000","22.8000","31.9000","22.8000","32.6000","22.8000","TopLayer","180","1uH"
"L3","FNR201610S","39.7000","22.5500","39.7000","22.5500","39.0000","22.5500","TopLayer","360","1uH"
"C10","CAPC1608X09L","37.7500","20.8750","37.7500","20.8750","37.7500","21.5250","TopLayer","270","4.7uF"
"C2","CAPC1608X09L","31.1000","20.2000","31.1000","20.2000","31.1000","20.8500","TopLayer","270","10uF"
"U4","TDFN22-8LD-PL-1_(hand_drawn)","39.5250","20.1500","39.5250","20.1500","40.2750","21.0500","TopLayer","270","MIC2875-5.0YMT-T5"
"C9","CAPC1005X06L","29.8000","20.1000","29.8000","20.1000","29.8000","19.7100","TopLayer","90","0.10uF"
"C11","CAPC1005X06L","42.3750","19.5000","42.3750","19.5000","42.3750","19.8900","TopLayer","270","0.10uF"
"C8","CAPC1608X09L","41.3000","19.5000","41.3000","19.5000","41.3000","18.8500","TopLayer","90","22uF"
"U3","SOT95P280X100-5N","33.6000","19.5000","33.6000","19.5000","32.6500","18.1750","TopLayer","90","ADP2108AUJZ-3.3-R7"
"P3","HDR1X4","44.5000","18.2700","44.5000","14.4600","44.5000","14.4600","TopLayer","90","Header 4"
"R8","ERJ2G(0402)_L","37.2500","17.5000","37.2500","17.5000","37.6500","17.5000","TopLayer","180","1M"
"C1","CAPC1608X09L","31.8500","16.7000","31.8500","16.7000","32.5000","16.7000","TopLayer","180","4.7uF"
"R25","ERJ2G(0402)_L","37.2500","16.5000","37.2500","16.5000","36.8500","16.5000","TopLayer","360","100k"
"SW4","TS-1185","41.4998","16.0000","41.4998","16.0000","41.4998","18.1750","BottomLayer","270","TS-1185"
"SW3","TS-1185","30.4998","16.0000","30.4998","16.0000","30.4998","18.1750","BottomLayer","270","TS-1185"
"SW2","TS-1185","19.4998","16.0000","19.4998","16.0000","19.4998","13.8250","BottomLayer","90","TS-1185"
"SW1","TS-1185","8.4998","16.0000","8.4998","16.0000","8.4998","13.8250","BottomLayer","90","TS-1185"
"C16","CAPC1608X09L","31.8500","15.4000","31.8500","15.4000","32.5000","15.4000","TopLayer","180","22uF"
"U1","ESP32-WROOM-32-shortpad","18.0000","15.0000","9.0000","6.0000","9.0000","6.0000","TopLayer","90","ESP32-WROOM-32E(4MB)"
"U15","SLAB-QFN-24-2675x2675TP_M","32.2500","12.0000","32.2500","12.0000","31.0000","9.9500","TopLayer","90","CP2104-F03-GM"
"R3","ERJ2G(0402)_L","36.1000","12.0000","36.1000","12.0000","35.7000","12.0000","TopLayer","360","10k"
"R2","ERJ2G(0402)_L","37.7500","11.9750","37.7500","11.9750","37.7500","12.3750","TopLayer","270","0.0"
"U2","FP-T1633-4-MFG","40.3000","11.0750","40.3000","11.0750","38.8750","11.8250","TopLayer","0","MAX98357AETE+"
"C3","CAPC1005X06L","36.1000","11.0000","36.1000","11.0000","35.7100","11.0000","TopLayer","360","1uF"
"R1","ERJ2G(0402)_L","37.7500","10.4750","37.7500","10.4750","37.7500","10.8750","TopLayer","270","100k"
"C4","CAPC1005X06L","36.1000","10.0000","36.1000","10.0000","36.4900","10.0000","TopLayer","180","0.10uF"
"P1","HDR1X2","44.5000","9.7700","44.5000","8.5000","44.5000","8.5000","TopLayer","90","Header 2"
"C5","CAPC1608X09N","35.8500","8.8250","35.8500","8.8250","35.1000","8.8250","TopLayer","0","4.7uF"
"C7","CAPC1005X06L","41.7000","8.4500","41.7000","8.4500","42.0900","8.4500","TopLayer","180","0.10uF"
"C6","CAPC1608X09L","39.1750","8.4500","39.1750","8.4500","39.8250","8.4500","TopLayer","180","10uF"
